PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Montrell Washington,2567538,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,417,0.00
Tahj Washington,2572258,WR,MIA,TB,,,,,,,,,,,,,15.80,,,,,,,,,,418,0.00
Jordan Watkins,2574550,WR,SF,CHI,,,,,,,,,,,,,30.20,,,,,,,,,,419,0.00
Quez Watkins,2564880,WR,PHI,@BUF,,,,,,,,,,,,,13.70,,,,,,,,,,420,0.00
Justin Watson,2560051,WR,HOU,@LAC,,,,,,,,,,,,,42.60,,,,,,,,,,421,0.00
Jared Wayne,2571017,WR,HOU,@LAC,,,,,,,,,,,,,42.60,,,,,,,,,,422,0.00
Jeremiah Webb,2574386,WR,NE,@NYJ,,,,,,,,,,,,,35.10,,,,,,,,,,423,0.00
Antwane Wells Jr.,2574429,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,424,0.00
Nick Westbrook-Ikhine,2565477,WR,MIA,TB,,,,,,,,,,,,,15.80,,,,,,,,,,425,0.00
LaJohntay Wester,2573954,WR,BAL,@GB,,,,,,,,,,,,,12.20,,,,,,,,,,426,0.00
Cody White,2564313,WR,SEA,@CAR,,,,,,,,,,,,,17.70,,,,,,,,,,427,0.00
David White Jr.,2573202,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,428,0.00
Ricky White III,2574578,WR,SEA,@CAR,,,,,,,,,,,,,17.70,,,,,,,,,,429,0.00
Kristian Wilkerson,2565480,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,430,0.00
Mario Williams,2574284,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,431,0.00
Mike Williams,2558846,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,432,0.00
Savion Williams,2574141,WR,GB,BAL,,,,,,,,,,,,,41.90,,,,,,,,,,433,0.00
Seth Williams,2566052,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,434,0.00
Garrett Wilson,2568048,WR,NYJ,NE,,,,,,,,,,,,,16.60,,,,,,,,,,435,0.00
Johnny Wilson,2572399,WR,PHI,@BUF,,,,,,,,,,,,,13.70,,,,,,,,,,436,0.00
Pokey Wilson,2571542,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,437,0.00
Roman Wilson,2572459,WR,PIT,@CLE,,,,,,,,,,,,,9.00,,,,,,,,,,438,0.00
Juwann Winfree,2562956,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,439,0.00
Mike Woods,2567481,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,440,0.00
Robert Woods,2540169,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,441,0.00
Winston Wright,2574642,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,442,0.00
Olamide Zaccheaus,2562808,WR,CHI,@SF,,,,,,,,,,,,,29.00,,,,,,,,,,443,0.00
