PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Bryson Nesbit,2574355,TE,MIN,@DAL,,,,,,,,,,,,,12.40,,,,,,,,,,161,0.00
Tyler Neville,2574080,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,162,0.00
David Njoku,2557986,TE,CLE,@CHI,,,,,,,,,,,,,10.00,,,,,,,,,,163,0.00
Gunnar Oakes,2574657,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,164,0.00
Thomas Odukoya,2568828,TE,NE,BUF,,,,,,,,,,,,,2.30,,,,,,,,,,165,0.00
Andrew Ogletree,2567712,TE,IND,@SEA,,,,,,,,,,,,,3.40,,,,,,,,,,166,0.00
Albert Okwuegbunam,2563911,TE,LV,@PHI,,,,,,,,,,,,,7.90,,,,,,,,,,167,0.00
Cade Otton,2568312,TE,TB,ATL,,,,,,,,,,,,,7.10,,,,,,,,,,168,0.00
Donald Parham,2562394,TE,PIT,MIA,,,,,,,,,,,,,26.00,,,,,,,,,,169,0.00
Jordan Petaia,2574524,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,170,0.00
Bryce Pierre,2573996,TE,CAR,@NO,,,,,,,,,,,,,3.80,,,,,,,,,,171,0.00
Sam Pitz,2573948,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,172,0.00
Mason Pline,2573542,TE,NO,CAR,,,,,,,,,,,,,6.40,,,,,,,,,,173,0.00
Caden Prieskorn,2574627,TE,CLE,@CHI,,,,,,,,,,,,,10.00,,,,,,,,,,174,0.00
Teagan Quitoriano,2567691,TE,ATL,@TB,,,,,,,,,,,,,43.80,,,,,,,,,,175,0.00
Mark Redman,2574277,TE,LAR,DET,,,,,,,,,,,,,27.70,,,,,,,,,,176,0.00
Tip Reiman,2572426,TE,ARI,@HOU,,,,,,,,,,,,,33.30,,,,,,,,,,177,0.00
Giovanni Ricci,2563668,TE,DET,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,178,0.00
Hayden Rucci,2573764,TE,MIA,@PIT,,,,,,,,,,,,,32.70,,,,,,,,,,179,0.00
Carter Runyon,2574308,TE,LV,@PHI,,,,,,,,,,,,,7.90,,,,,,,,,,180,0.00
Gee Scott Jr.,2574384,TE,WAS,@NYG,,,,,,,,,,,,,7.10,,,,,,,,,,181,0.00
Joshua Simon,2573917,TE,ATL,@TB,,,,,,,,,,,,,43.80,,,,,,,,,,182,0.00
